batch,model,entropy_settings,datetime,best_validation_loss,training_loss,best_validation_accuracy,training_accuracy
articles_batch0.1,model1e0c2,,error
articles_batch0.1,model1e0c27,,error
articles_batch0.1,model1e2c37,,error
articles_batch0.1,model3e2c37,,error
articles_batch0.1,model5e2c37,,error
articles_batch2.0,entropy_80_20_model6e2c47,,20190211 071217379,0.3588481659487802,0.27098358139071776,0.8146144082758358,0.8671226842855292
articles_batch2.0,entropy_80_20_model7e2c47,,20190211 063150386,0.3607372380032831,0.27864247681977955,0.8140990771756038,0.8644332167379194
articles_batch2.0,entropy_80_20_model8e2c47,,20190211 071744083,0.3819300713283675,0.3083778933176528,0.8045559086527909,0.843668869024485
articles_batch2.0,entropy_90_10_model6e2c47,,20190211 133101144,0.44077105029505126,0.33978219638052193,0.8551710139043947,0.8922260952277749
articles_batch2.0,entropy_90_10_model7e2c47,,20190211 133734662,0.4485824199355378,0.35453445772114006,0.8576180971390552,0.887157073452654
articles_batch2.0,entropy_90_10_model8e2c47,,20190211 134157562,0.46762204626385045,0.38255709863227344,0.8722667659032218,0.8664655914561096
articles_batch2.0,entropy_93_07_model6e0c37,,error
articles_batch2.0,entropy_93_07_model6e2c47,,error
articles_batch2.0,model1e2c27,,20190210 051742693,0.48104180456424245,0.3938569016754627,0.7600743676026646,0.8084734329036165
articles_batch2.0,model1e2c37,,20190210 191507378,0.4829291953724258,0.39760238401915715,0.7534118746279841,0.8037716030022495
articles_batch2.0,model1e2c47,,20190210 191224353,0.4841338155829177,0.3799879521779392,0.759566884599788,0.8123742753936667
articles_batch2.0,model6e2c41,,20190212 053026700,0.5996969938278198,0.49794458144384884,0.8768564565783686,0.8759955932019722
articles_batch2.0,model6e2c42,,20190212 054125308,0.5001796024794481,0.43093643645229546,0.7484353327243818,0.7957099941603906
articles_batch2.0,model6e2c44,,20190212 055140552,0.48776267316876626,0.41162541443886963,0.7865624682837714,0.8325476951603484
articles_batch2.0,model6e2c47,,20190211 182048305,0.4788274053408175,0.37325870553436485,0.7865511914025057,0.8478209828604454
articles_batch2.0,model7e2c47,,20190211 182820676,0.4875678791075337,0.39062790669824765,0.7854798876822626,0.8380260916156453
articles_batch2.0,model8e2c41,,20190212 055558591,0.6518685060496233,0.5402842121927635,0.8431385815938744,0.828363645120314
articles_batch2.0,model8e2c42,,20190212 060044270,0.5183799561797356,0.4641614476947681,0.714537027639636,0.727079533072056
articles_batch2.0,model8e2c44,,20190212 060529876,0.5158345887855608,0.43524693001223647,0.8650270081306314,0.8588620587934284
articles_batch2.0,model8e2c47,,20190211 183221956,0.507309690117836,0.4203807483224765,0.8543026940469344,0.846936011125359
articles_batch2.0b,entropy_90_10_model6e0c37,,20190211 132840071,0.4482381679877943,0.3020427947782952,0.8829121418180588,0.8943933729463539
articles_batch2.0b,entropy_90_10_model7e0c37,,20190211 133411571,0.4435823070151465,0.33189815809221374,0.863606121091151,0.886741678556593
articles_batch2.0b,entropy_90_10_model8e0c37,,20190211 133903278,0.4553450288213029,0.36708084429087845,0.8753679082512941,0.8811910395106769
articles_batch2.0b,model0e0c27,,20190210 024135732,0.1900629953158145,0.12730493740705046,0.9377065078881784,0.9525125370995804
articles_batch2.0b,model1e0c27,,20190210 050607302,0.4761367352033148,0.3302977681159973,0.7409678696859534,0.8472189176328084
articles_batch2.0b,model6e0c30,,20190212 230202506,0.5030256549314577,0.3424295042843922,0.8041431261770244,0.8520411541957894
articles_batch2.0b,model6e0c37,,20190211 181756625,0.49074010976723265,0.329561328596395,0.8405674526652909,0.8557074656697189
articles_batch2.0b,model7e0c37,,20190211 182429261,0.48607705533504486,0.3657165823261375,0.8222876281335634,0.8421981012239099
articles_batch2.0b,model8e0c30,,20190212 230725682,0.585761904108281,0.5009245977777502,0.8420672778736312,0.8330232922152588
articles_batch2.0b,model8e0c37,,20190211 183024260,0.49309264275492454,0.40194153364585794,0.8284335284233793,0.8355578031028192
articles_batch5.0,model1e0c2,,20190208 032820933,0.45150602076734814,0.3590438260236542,0.7654539245747458,0.8123342752849542
articles_batch5.0,model1e0d2,,20190208 031251235,0.46333449166648244,0.3392608251322312,0.7272622714844352,0.8242093957067331
articles_batch5.0,model6e0c37,,20190212 055737372,0.4417934127304019,0.3186675956998517,0.8296739853626082,0.868458160475698
articles_batch5.0,model6e2c47,,20190212 071721709,0.4576058019788898,0.3810755038603322,0.8373535415045615,0.8616368499405066
articles_batch5.0,model7e0c37,,20190213 001016270,0.43380211871497487,0.36905688426844013,0.8097590130473517,0.8589874686482747
articles_batch5.0,model7e2c47,,20190212 081845631,0.4575295122910519,0.3985791971588435,0.8166604643819705,0.857309280733251
articles_batch5.0,model8e2c47,,20190212 220308712,0.503987252104039,0.4362259348838135,0.8401051005333965,0.85218016570987
articles_batch5.1,model1e0a1,,error
articles_batch5.1,model1e0a2,,error
articles_batch5.1,model1e0b2,,error
articles_batch5.1,model1e0c2,,error
